# construction	register	ai_per_1000	human_per_1000	excess
# machine-written corpus: 34748 sentences
# control H: 10232 sentences
# control A: 16647 sentences
# control I: 20016 sentences
# control docs: 43408 sentences
# control informal: 34815 sentences
# control fiction: 4183 sentences
той самий / тим самим	H	22.332	1.564	14.28
той самий / тим самим	A	22.332	1.442	15.49
той самий / тим самим	I	22.332	2.048	10.90
той самий / тим самим	docs	22.332	8.224	2.72
той самий / тим самим	informal	22.332	2.844	7.85
той самий / тим самим	fiction	22.332	1.195	18.68
це рівно / рівно те	H	3.856	0.000	999.00
це рівно / рівно те	A	3.856	0.000	999.00
це рівно / рівно те	I	3.856	0.000	999.00
це рівно / рівно те	docs	3.856	0.000	999.00
це рівно / рівно те	informal	3.856	0.029	134.26
це рівно / рівно те	fiction	3.856	0.000	999.00
це не X, це Y	H	0.978	0.098	10.01
це не X, це Y	A	0.978	0.120	8.14
це не X, це Y	I	0.978	0.000	999.00
це не X, це Y	docs	0.978	0.000	999.00
це не X, це Y	informal	0.978	0.115	8.52
це не X, це Y	fiction	0.978	0.000	999.00
не X, а Y	H	22.678	12.901	1.76
не X, а Y	A	22.678	20.364	1.11
не X, а Y	I	22.678	20.683	1.10
не X, а Y	docs	22.678	6.243	3.63
не X, а Y	informal	22.678	17.320	1.31
не X, а Y	fiction	22.678	16.973	1.34
не просто X, а Y	H	0.489	4.691	0.10
не просто X, а Y	A	0.489	7.749	0.06
не просто X, а Y	I	0.489	2.198	0.22
не просто X, а Y	docs	0.489	0.207	2.36
не просто X, а Y	informal	0.489	2.901	0.17
не просто X, а Y	fiction	0.489	2.869	0.17
радше X, ніж Y	H	0.288	0.000	999.00
радше X, ніж Y	A	0.288	0.000	999.00
радше X, ніж Y	I	0.288	0.100	2.88
радше X, ніж Y	docs	0.288	0.000	999.00
радше X, ніж Y	informal	0.288	0.029	10.02
радше X, ніж Y	fiction	0.288	0.000	999.00
по суті	H	2.417	0.880	2.75
по суті	A	2.417	0.661	3.66
по суті	I	2.417	0.250	9.68
по суті	docs	2.417	0.553	4.37
по суті	informal	2.417	0.747	3.24
по суті	fiction	2.417	0.478	5.06
тобто	H	35.398	10.653	3.32
тобто	A	35.398	6.187	5.72
тобто	I	35.398	2.998	11.81
тобто	docs	35.398	6.013	5.89
тобто	informal	35.398	4.797	7.38
тобто	fiction	35.398	1.434	24.68
саме тому / саме це	H	4.202	1.564	2.69
саме тому / саме це	A	4.202	1.562	2.69
саме тому / саме це	I	4.202	1.699	2.47
саме тому / саме це	docs	4.202	0.092	45.60
саме тому / саме це	informal	4.202	1.810	2.32
саме тому / саме це	fiction	4.202	0.000	999.00
варто зазначити	H	0.115	0.098	1.18
варто зазначити	A	0.115	0.901	0.13
варто зазначити	I	0.115	0.000	999.00
варто зазначити	docs	0.115	0.069	1.67
варто зазначити	informal	0.115	0.201	0.57
варто зазначити	fiction	0.115	0.000	999.00
являє собою	H	0.086	1.759	0.05
являє собою	A	0.086	0.120	0.72
являє собою	I	0.086	0.100	0.86
являє собою	docs	0.086	0.092	0.94
являє собою	informal	0.086	0.345	0.25
являє собою	fiction	0.086	0.478	0.18
при цьому	H	2.475	5.278	0.47
при цьому	A	2.475	4.265	0.58
при цьому	I	2.475	0.799	3.10
при цьому	docs	2.475	0.207	11.94
при цьому	informal	2.475	2.585	0.96
при цьому	fiction	2.475	0.478	5.18
у свою чергу	H	0.000	0.684	0.00
у свою чергу	A	0.000	0.541	0.00
у свою чергу	I	0.000	0.000	0.00
у свою чергу	docs	0.000	0.299	0.00
у свою чергу	informal	0.000	0.029	0.00
у свою чергу	fiction	0.000	0.000	0.00
тире як пауза	H	478.848	91.673	5.22
тире як пауза	A	478.848	81.576	5.87
тире як пауза	I	478.848	185.202	2.59
тире як пауза	docs	478.848	27.668	17.31
тире як пауза	informal	478.848	250.467	1.91
тире як пауза	fiction	478.848	113.316	4.23
двокрапка-пояснення	H	150.483	42.318	3.56
двокрапка-пояснення	A	150.483	39.767	3.78
двокрапка-пояснення	I	150.483	39.968	3.77
двокрапка-пояснення	docs	150.483	45.913	3.28
двокрапка-пояснення	informal	150.483	39.810	3.78
двокрапка-пояснення	fiction	150.483	52.594	2.86
