# label<TAB>regex. Constructions under test; add rows here, not to rules.
той самий / тим самим	\b(?:той самий|та сама|те саме|тим самим)\b
це рівно / рівно те	\b(?:це\s+рівно|рівно\s+(?:те|той|та))\b
це не X, це Y	це\s+не\s+[^,.;:]{2,45},\s*це\b
не X, а Y	\bне\s+[^,.;:]{2,45},\s*(?:а|але)\b
не просто X, а Y	\bне\s+(?:просто|лише|тільки)\s+[^,.;:]{2,45},\s*(?:а|але)\b
радше X, ніж Y	\bрадше\s+[^,.;:]{2,45},?\s*ніж\b
по суті	\bпо\s+суті\b
тобто	\bтобто\b
саме тому / саме це	\bсаме\s+(?:тому|це|так)\b
варто зазначити	\bварто\s+(?:зазначити|відзначити|наголосити)\b
являє собою	\bявля\w+\s+собою\b
при цьому	\bпри\s+цьому\b
у свою чергу	\bу\s+свою\s+чергу\b
тире як пауза	\s—\s
двокрапка-пояснення	[а-яіїєґ]{3,}:\s+[а-яіїєґ]
